,Cell_Num,X,Y,ClassName,Prob
1395,1396,23347.495575221237,25236.040225261466,Astrocyte,0.9980649504833053
2148,2149,10329.050847457627,25930.20030816641,Astrocyte,0.9993248651175205
1577,1578,26966.514613778705,25396.805584551148,Astrocyte,0.9999999998132927
1389,1390,18548.211182795698,25238.9088172043,Astrocyte,0.9999996834617042
1387,1388,22558.006902761106,25249.039915966387,Astrocyte,0.9999999198594529
1583,1584,34518.90331974374,25397.174140943505,Astrocyte,0.9999741536559343
1377,1378,5346.829931972789,25213.86054421769,Astrocyte,0.9748599724084005
1376,1377,3098.295731707317,25229.59756097561,Astrocyte,0.9999999999962215
1589,1590,3028.5978689818467,25395.64009471192,Astrocyte,0.9999998196308225
1592,1593,24474.431279620854,25388.74691943128,Astrocyte,0.9999624390204721
1800,1801,20959.406565656565,25599.878787878788,Astrocyte,0.8910699267349663
1536,1537,6816.5864519185225,25367.91046897205,Astrocyte,0.9999961104882171
1602,1603,25561.224418604652,25395.196511627906,Astrocyte,0.936576225112416
1745,1746,4192.125675675676,25546.37162162162,Astrocyte,0.9997004661769324
1614,1615,34387.112684543536,25422.69990961133,Astrocyte,0.9999550355993596
1354,1355,9732.511111111111,25199.27288888889,Astrocyte,0.9999992957352918
1623,1624,8453.65662837628,25427.906861223222,Astrocyte,0.9999935573860522
1353,1354,3799.3541260558804,25207.32423651722,Astrocyte,0.9999918616398997
1634,1635,3390.7362082362083,25437.894716394716,Astrocyte,0.9999998472296019
1352,1353,29125.281949934124,25219.52463768116,Astrocyte,0.9958475191776398
1348,1349,31819.275534441804,25197.64766429137,Astrocyte,0.6827213504624458
1403,1404,8172.229390681004,25258.690322580645,Astrocyte,0.9871028234072031
1409,1410,16242.971930680986,25266.942152794727,Astrocyte,0.999999999996398
1410,1411,21224.61053412463,25258.796735905045,Astrocyte,0.9999998417550346
1418,1419,6340.1267842149455,25268.435208508257,Astrocyte,0.999852985617405
1757,1758,27675.996673003803,25562.441064638784,Astrocyte,0.999952132776153
1525,1526,26938.214805825242,25347.964199029127,Astrocyte,0.9961402758724778
60,61,29022.000960307298,24082.913892445584,Astrocyte,0.9997076396939162
62,63,33197.14791427478,24093.03214695752,Astrocyte,0.9999988044421025
1515,1516,9027.065342394146,25345.84474647151,Astrocyte,0.9999999999094389
1766,1767,7848.492039423806,25585.260550922416,Astrocyte,0.9945193768450633
1503,1504,24465.37292358804,25329.13122923588,Astrocyte,0.9988521220772513
1541,1542,15880.520338087692,25358.55995773904,Astrocyte,0.9998351460336641
