,Cell_Num,X,Y,ClassName,Prob
891,892,22733.16202582728,24840.50363196126,Astrocyte,0.9999999954423573
110,111,16966.467217630852,24121.481542699723,Astrocyte,0.9977129355531467
1456,1457,16301.48590573013,25314.32393715342,Astrocyte,0.9999999499175202
889,890,8559.058954890575,24830.373380973648,Astrocyte,0.9997321235058406
877,878,22463.389473684212,24815.03971291866,Astrocyte,0.9983177600501811
864,865,8515.470806302132,24821.20142106889,Astrocyte,0.9999843142159681
863,864,7072.896371704516,24824.256329939963,Astrocyte,0.9999999996330173
859,860,8349.944964871194,24810.800156128025,Astrocyte,0.9999310408636984
1577,1578,26966.514613778705,25396.805584551148,Astrocyte,0.9999971933078698
848,849,7026.959217644611,24799.062421972536,Astrocyte,0.9997843693260512
839,840,16603.96665389038,24790.866615561517,Astrocyte,0.9999532682154239
1775,1776,11225.263463892288,25597.50305997552,Astrocyte,0.9999971540312687
831,832,15624.844444444445,24790.111706349206,Astrocyte,0.9999988676754638
130,131,16998.762726488352,24129.714408973254,Astrocyte,0.9952659635295178
823,824,22471.88277511962,24761.79366028708,Astrocyte,0.9999819497353554
802,803,12542.930760499432,24751.50227014756,Astrocyte,0.9999999390162247
779,780,17014.324297188756,24722.16516064257,Astrocyte,0.9999986273322241
774,775,18023.74378317966,24727.050013970384,Astrocyte,0.9999999993336124
769,770,28046.086876832844,24720.594941348972,Astrocyte,0.9918653264568593
758,759,13672.803458213257,24696.63688760807,Astrocyte,0.9944594032846857
590,591,37176.25153846154,24542.826923076922,Astrocyte,0.9482525493426581
1883,1884,10128.833200953137,25687.29745830024,Astrocyte,0.9978023478992478
1884,1885,10194.877762430939,25690.668508287294,Astrocyte,0.9999984616479591
240,241,15265.369241672573,24247.952515946137,Astrocyte,0.9990788230441834
1387,1388,22558.006902761106,25249.039915966387,Astrocyte,0.9999476831328367
2036,2037,7248.630468347916,25829.19145651055,Astrocyte,0.9975357363260564
1389,1390,18548.211182795698,25238.9088172043,Astrocyte,0.6260598611310134
1418,1419,6340.1267842149455,25268.435208508257,Astrocyte,0.9999999219809209
1956,1957,8223.977192506109,25766.00923160467,Astrocyte,0.9997763486716869
1972,1973,22432.265255573067,25778.107858590407,Astrocyte,0.9999828096165869
2028,2029,21080.95848434926,25827.122899505765,Astrocyte,0.9999980410816993
260,261,6330.868248517016,24284.812363409303,Astrocyte,0.9999863159466961
1400,1401,17976.589837771655,25257.459136822774,Astrocyte,0.999999996708181
1980,1981,4777.142755174875,25769.102069950037,Astrocyte,0.9999647461877927
379,380,29453.99150350942,24378.74806058367,Astrocyte,0.9584535498606571
371,372,18108.4047829938,24356.92116917626,Astrocyte,0.9992945715829903
1988,1989,14765.91974317817,25779.422552166936,Astrocyte,0.9999999913028425
354,355,20973.561495176848,24354.76487138264,Astrocyte,0.999961221809797
353,354,18480.06169354839,24356.193951612902,Astrocyte,0.999983202184756
1409,1410,16242.971930680986,25266.942152794727,Astrocyte,0.9999999687592996
286,287,14866.098655913978,24304.02930107527,Astrocyte,0.9999954901580733
1410,1411,21224.61053412463,25258.796735905045,Astrocyte,0.9999019235806423
320,321,9875.63870967742,24331.470381231673,Astrocyte,0.9947337612512861
2004,2005,7480.741310160428,25805.8126114082,Astrocyte,0.9999991140356719
451,452,8020.908976510067,24422.962667785236,Astrocyte,0.9955764813890317
1945,1946,14368.217134416544,25741.827917282128,Astrocyte,0.9987067742365421
1536,1537,6816.5864519185225,25367.91046897205,Astrocyte,0.994607389911102
475,476,33414.49388928828,24451.349149293073,Astrocyte,0.9999994715598312
585,586,12728.678035871802,24552.211996471626,Astrocyte,0.9998979181286591
1892,1893,4767.854422964265,25706.52021089631,Astrocyte,0.9999999949125828
569,570,19762.012720848055,24537.893992932863,Astrocyte,0.999972285800674
204,205,9351.46830530401,24205.009055627426,Astrocyte,0.9465607870331625
1897,1898,10323.219375500401,25691.55164131305,Astrocyte,0.5487257508300158
206,207,22637.81668874172,24220.798675496688,Astrocyte,0.9999976167560423
1902,1903,12856.522088353413,25705.449512335053,Astrocyte,0.9999999998032001
1903,1904,19472.060236220474,25707.511023622046,Astrocyte,0.9846291127084732
209,210,8964.90491339696,24223.56486390951,Astrocyte,0.9999613470581085
1908,1909,4719.40606060606,25707.096363636363,Astrocyte,0.9999640256571021
